date,interface_name_as_reported,import_mu,month_cumulative_mu,source_daily_average_mu,classification,source_sha256
2024-04-15,400KV KOZHKOD,15.438,239.859,,official_observed_reference,56c4f448772b7a4a5c1b32977d807a9fca60a61d622c60e794b0cc6eaa95c6e4
2024-04-15,400KV NORTH TRSR,7.8558,121.2431,8.0829,official_observed_reference,56c4f448772b7a4a5c1b32977d807a9fca60a61d622c60e794b0cc6eaa95c6e4
2024-04-15,400KV TVM,9.928,149.301,,official_observed_reference,56c4f448772b7a4a5c1b32977d807a9fca60a61d622c60e794b0cc6eaa95c6e4
2024-04-15,220KV_KNPA+SBGR +PVUD+EDMN,9.2611,136.5769,9.1051,official_observed_reference,56c4f448772b7a4a5c1b32977d807a9fca60a61d622c60e794b0cc6eaa95c6e4
2024-04-15,110KV_MJSM +PRSLA,0.8466,12.7563,,official_observed_reference,56c4f448772b7a4a5c1b32977d807a9fca60a61d622c60e794b0cc6eaa95c6e4
2024-04-16,400KV MDKA,12.711,201.638,12.6024,official_observed_reference,35c66487704e88f37405a7b9cdac9e9f3190ca614c143d1ea410b68555a7b200
2024-04-16,400KV PKKD,9.781,151.437,,official_observed_reference,35c66487704e88f37405a7b9cdac9e9f3190ca614c143d1ea410b68555a7b200
2024-04-16,400KV KOCHI+KOTTAYAM,17.53,287.77,17.9856,official_observed_reference,35c66487704e88f37405a7b9cdac9e9f3190ca614c143d1ea410b68555a7b200
2024-04-16,400KV KOZHKOD,16.114,255.973,,official_observed_reference,35c66487704e88f37405a7b9cdac9e9f3190ca614c143d1ea410b68555a7b200
2024-04-16,400KV NORTH TRSR,8.201,129.4441,8.0903,official_observed_reference,35c66487704e88f37405a7b9cdac9e9f3190ca614c143d1ea410b68555a7b200
2024-04-16,400KV TVM,10.274,159.575,,official_observed_reference,35c66487704e88f37405a7b9cdac9e9f3190ca614c143d1ea410b68555a7b200
2024-04-16,220KV_KNPA+SBGR +PVUD+EDMN,9.1698,145.7467,9.1092,official_observed_reference,35c66487704e88f37405a7b9cdac9e9f3190ca614c143d1ea410b68555a7b200
